ATVI
ADBE
AMD
ALGN
ALXN
AMZN
AMGN
AAL
ADI
AAPL
AMAT
ASML
ADSK
ADP
AVGO
BIDU
BIIB
BMRN
CDNS
CELG
CERN
CHKP
CHTR
CTRP
CTAS
CSCO
CTXS
CMCSA
COST
CSX
CTSH
DLTR
EA
EBAY
EXPE
FAST
FB
FISV
GILD
GOOG
GOOGL
HAS
HSIC
ILMN
INCY
INTC
INTU
ISRG
IDXX
JBHT
JD
KLAC
KHC
LRCX
LBTYA
LBTYK
LULU
MELI
MAR
MCHP
MDLZ
MNST
MSFT
MU
MXIM
MYL
NTAP
NFLX
NTES
NVDA
NXPI
ORLY
PAYX
PCAR
BKNG
PYPL
PEP
QCOM
REGN
ROST
SIRI
SWKS
SBUX
SYMC
SNPS
TTWO
TSLA
TXN
TMUS
ULTA
UAL
VRSN
VRSK
VRTX
WBA
WDC
WDAY
WYNN
XEL
XLNX
