BBBY
MSFT
CSCO
GPRO
INTC
SIRI
CMCSA
IMMU
FCEL
ATVI
GILD
SBUX
NFLX
AMAT
FOLD
CELG
URBN
LXRX
GPOR
SGEN
NVDA
EBAY
PAAS
CTSH
ENDP
MRVL
HOLX
MYL
PTEN
OSTK
HBAN
CERN
FLEX
JBLU
ADBE
MDCO
QCOM
IMGN
PLUG
AGNC
NKTR
FSLR
CERS
AMZN
FITB
